ZENITH(DEG),AZIMUTH(DEG),VERT(dBi),HORI(dBi),TOTAL(dBi)
50.0,182.0,-30.60,4.15,4.15
51.0,182.0,-30.30,4.74,4.75
52.0,182.0,-30.05,5.29,5.29
53.0,182.0,-29.85,5.80,5.80
54.0,182.0,-29.69,6.26,6.26
55.0,182.0,-29.57,6.69,6.69
56.0,182.0,-29.50,7.08,7.08
57.0,182.0,-29.47,7.43,7.44
58.0,182.0,-29.49,7.76,7.76
59.0,182.0,-29.54,8.05,8.05
60.0,182.0,-29.64,8.31,8.31
61.0,182.0,-29.78,8.53,8.53
62.0,182.0,-29.96,8.72,8.73
63.0,182.0,-30.19,8.89,8.89
64.0,182.0,-30.46,9.02,9.02
65.0,182.0,-30.77,9.12,9.12
66.0,182.0,-31.14,9.18,9.18
67.0,182.0,-31.54,9.21,9.21
68.0,182.0,-32.00,9.21,9.21
69.0,182.0,-32.50,9.17,9.17
70.0,182.0,-33.05,9.10,9.10
71.0,182.0,-33.65,8.98,8.98
72.0,182.0,-34.30,8.83,8.83
73.0,182.0,-34.99,8.63,8.63
74.0,182.0,-35.72,8.38,8.38
75.0,182.0,-36.48,8.09,8.09
76.0,182.0,-37.28,7.74,7.74
77.0,182.0,-38.09,7.33,7.33
78.0,182.0,-38.90,6.85,6.85
79.0,182.0,-39.72,6.30,6.30
80.0,182.0,-40.52,5.65,5.65
81.0,182.0,-41.31,4.91,4.91
82.0,182.0,-42.10,4.04,4.04
83.0,182.0,-42.92,3.02,3.02
84.0,182.0,-43.81,1.81,1.81
85.0,182.0,-44.86,0.33,0.33
86.0,182.0,-46.19,-1.51,-1.51
87.0,182.0,-48.01,-3.93,-3.93
88.0,182.0,-50.79,-7.39,-7.39
89.0,182.0,-56.02,-13.37,-13.36
0.0,183.0,-22.46,3.15,3.16
1.0,183.0,-22.47,3.15,3.16
2.0,183.0,-22.49,3.13,3.15
3.0,183.0,-22.52,3.11,3.12
4.0,183.0,-22.56,3.08,3.09
5.0,183.0,-22.62,3.04,3.05
6.0,183.0,-22.70,2.98,2.99
7.0,183.0,-22.79,2.92,2.93
8.0,183.0,-22.89,2.85,2.86
9.0,183.0,-23.01,2.76,2.77
10.0,183.0,-23.14,2.66,2.67
11.0,183.0,-23.29,2.55,2.56
12.0,183.0,-23.46,2.42,2.43
13.0,183.0,-23.65,2.28,2.29
14.0,183.0,-23.86,2.12,2.13
15.0,183.0,-24.08,1.95,1.96
16.0,183.0,-24.33,1.75,1.76
17.0,183.0,-24.61,1.54,1.55
18.0,183.0,-24.90,1.30,1.31
19.0,183.0,-25.23,1.03,1.04
20.0,183.0,-25.58,0.73,0.75
21.0,183.0,-25.97,0.41,0.42
22.0,183.0,-26.39,0.05,0.06
23.0,183.0,-26.84,-0.36,-0.35
24.0,183.0,-27.34,-0.80,-0.79
25.0,183.0,-27.87,-1.30,-1.29
26.0,183.0,-28.45,-1.86,-1.85
27.0,183.0,-29.08,-2.48,-2.47
28.0,183.0,-29.76,-3.17,-3.16
29.0,183.0,-30.48,-3.95,-3.94
30.0,183.0,-31.25,-4.83,-4.82
31.0,183.0,-32.04,-5.80,-5.79
32.0,183.0,-32.82,-6.86,-6.85
33.0,183.0,-33.57,-7.96,-7.95
34.0,183.0,-34.19,-8.99,-8.98
35.0,183.0,-34.61,-9.72,-9.71
36.0,183.0,-34.76,-9.86,-9.85
37.0,183.0,-34.60,-9.28,-9.27
38.0,183.0,-34.17,-8.16,-8.15
39.0,183.0,-33.55,-6.80,-6.79
40.0,183.0,-32.83,-5.40,-5.39
41.0,183.0,-32.08,-4.05,-4.04
42.0,183.0,-31.33,-2.80,-2.79
43.0,183.0,-30.61,-1.65,-1.65
44.0,183.0,-29.94,-0.60,-0.60
45.0,183.0,-29.33,0.36,0.37
46.0,183.0,-28.77,1.25,1.25
47.0,183.0,-28.27,2.06,2.07
48.0,183.0,-27.82,2.81,2.82
49.0,183.0,-27.43,3.50,3.51
50.0,183.0,-27.08,4.14,4.15
51.0,183.0,-26.78,4.73,4.74
52.0,183.0,-26.54,5.28,5.28
53.0,183.0,-26.33,5.79,5.79
54.0,183.0,-26.17,6.25,6.25
55.0,183.0,-26.06,6.68,6.68
56.0,183.0,-25.99,7.07,7.07
57.0,183.0,-25.96,7.42,7.43
58.0,183.0,-25.97,7.75,7.75
59.0,183.0,-26.03,8.04,8.04
60.0,183.0,-26.12,8.29,8.30
61.0,183.0,-26.26,8.52,8.52
62.0,183.0,-26.45,8.71,8.72
63.0,183.0,-26.67,8.88,8.88
64.0,183.0,-26.94,9.01,9.01
65.0,183.0,-27.26,9.11,9.11
66.0,183.0,-27.62,9.17,9.17
67.0,183.0,-28.03,9.20,9.20
68.0,183.0,-28.48,9.20,9.20
69.0,183.0,-28.99,9.16,9.16
70.0,183.0,-29.54,9.09,9.09
71.0,183.0,-30.14,8.97,8.97
72.0,183.0,-30.78,8.82,8.82
73.0,183.0,-31.47,8.62,8.62
74.0,183.0,-32.20,8.37,8.37
75.0,183.0,-32.97,8.08,8.08
76.0,183.0,-33.76,7.73,7.73
77.0,183.0,-34.57,7.32,7.32
78.0,183.0,-35.39,6.84,6.84
79.0,183.0,-36.20,6.29,6.29
80.0,183.0,-37.01,5.64,5.64
81.0,183.0,-37.80,4.90,4.90
82.0,183.0,-38.59,4.03,4.03
83.0,183.0,-39.40,3.01,3.01
84.0,183.0,-40.30,1.80,1.80
85.0,183.0,-41.35,0.32,0.32
86.0,183.0,-42.67,-1.52,-1.52
87.0,183.0,-44.49,-3.94,-3.94
88.0,183.0,-47.28,-7.40,-7.40
89.0,183.0,-52.51,-13.38,-13.38
0.0,184.0,-19.96,3.14,3.16
1.0,184.0,-19.97,3.14,3.16
2.0,184.0,-19.99,3.12,3.15
3.0,184.0,-20.02,3.10,3.12
4.0,184.0,-20.07,3.07,3.09
5.0,184.0,-20.13,3.03,3.05
6.0,184.0,-20.20,2.97,2.99
7.0,184.0,-20.29,2.91,2.93
8.0,184.0,-20.39,2.84,2.86
9.0,184.0,-20.51,2.75,2.77
10.0,184.0,-20.65,2.65,2.67
11.0,184.0,-20.80,2.54,2.56
12.0,184.0,-20.97,2.41,2.43
13.0,184.0,-21.15,2.27,2.29
14.0,184.0,-21.36,2.11,2.13
15.0,184.0,-21.59,1.94,1.96
16.0,184.0,-21.84,1.74,1.76
17.0,184.0,-22.11,1.53,1.54
18.0,184.0,-22.41,1.29,1.30
19.0,184.0,-22.73,1.02,1.04
20.0,184.0,-23.09,0.72,0.74
21.0,184.0,-23.47,0.40,0.42
22.0,184.0,-23.89,0.04,0.05
23.0,184.0,-24.35,-0.37,-0.35
24.0,184.0,-24.84,-0.81,-0.80
25.0,184.0,-25.38,-1.31,-1.29
26.0,184.0,-25.96,-1.87,-1.85
27.0,184.0,-26.59,-2.49,-2.47
28.0,184.0,-27.27,-3.18,-3.17
29.0,184.0,-27.99,-3.96,-3.95
30.0,184.0,-28.75,-4.84,-4.82
31.0,184.0,-29.54,-5.81,-5.79
32.0,184.0,-30.33,-6.87,-6.85
33.0,184.0,-31.07,-7.97,-7.95
34.0,184.0,-31.70,-9.00,-8.98
35.0,184.0,-32.12,-9.73,-9.71
36.0,184.0,-32.26,-9.87,-9.85
37.0,184.0,-32.10,-9.29,-9.27
38.0,184.0,-31.68,-8.18,-8.16
39.0,184.0,-31.06,-6.81,-6.80
40.0,184.0,-30.34,-5.41,-5.39
41.0,184.0,-29.58,-4.06,-4.05
42.0,184.0,-28.83,-2.81,-2.80
43.0,184.0,-28.12,-1.67,-1.66
44.0,184.0,-27.45,-0.61,-0.60
45.0,184.0,-26.84,0.35,0.36
46.0,184.0,-26.28,1.23,1.24
47.0,184.0,-25.78,2.05,2.06
48.0,184.0,-25.33,2.80,2.81
49.0,184.0,-24.93,3.49,3.50
50.0,184.0,-24.59,4.13,4.14
51.0,184.0,-24.29,4.72,4.73
52.0,184.0,-24.04,5.27,5.27
53.0,184.0,-23.84,5.77,5.78
54.0,184.0,-23.68,6.24,6.24
55.0,184.0,-23.57,6.66,6.67
56.0,184.0,-23.50,7.05,7.06
57.0,184.0,-23.47,7.41,7.41
58.0,184.0,-23.48,7.73,7.74
59.0,184.0,-23.53,8.02,8.03
60.0,184.0,-23.63,8.28,8.28
61.0,184.0,-23.77,8.51,8.51
62.0,184.0,-23.96,8.70,8.70
63.0,184.0,-24.18,8.86,8.86
64.0,184.0,-24.45,8.99,8.99
65.0,184.0,-24.77,9.09,9.09
66.0,184.0,-25.13,9.16,9.16
67.0,184.0,-25.54,9.19,9.19
68.0,184.0,-25.99,9.18,9.19
69.0,184.0,-26.50,9.15,9.15
70.0,184.0,-27.05,9.07,9.07
71.0,184.0,-27.65,8.96,8.96
72.0,184.0,-28.29,8.80,8.80
73.0,184.0,-28.98,8.60,8.60
74.0,184.0,-29.71,8.36,8.36
75.0,184.0,-30.48,8.06,8.06
76.0,184.0,-31.27,7.71,7.71
77.0,184.0,-32.08,7.30,7.30
78.0,184.0,-32.90,6.82,6.82
79.0,184.0,-33.72,6.27,6.27
80.0,184.0,-34.52,5.63,5.63
81.0,184.0,-35.31,4.88,4.88
82.0,184.0,-36.10,4.01,4.02
83.0,184.0,-36.92,2.99,2.99
84.0,184.0,-37.81,1.78,1.78
85.0,184.0,-38.86,0.30,0.31
86.0,184.0,-40.18,-1.54,-1.54
87.0,184.0,-42.00,-3.96,-3.96
88.0,184.0,-44.79,-7.42,-7.42
89.0,184.0,-50.02,-13.39,-13.39
0.0,185.0,-18.03,3.13,3.16
1.0,185.0,-18.04,3.13,3.16
2.0,185.0,-18.06,3.11,3.15
3.0,185.0,-18.09,3.09,3.12
4.0,185.0,-18.14,3.06,3.09
5.0,185.0,-18.20,3.01,3.05
6.0,185.0,-18.27,2.96,2.99
7.0,185.0,-18.36,2.90,2.93
8.0,185.0,-18.46,2.82,2.86
9.0,185.0,-18.58,2.74,2.77
10.0,185.0,-18.71,2.64,2.67
11.0,185.0,-18.86,2.53,2.56
12.0,185.0,-19.03,2.40,2.43
13.0,185.0,-19.22,2.26,2.29
14.0,185.0,-19.43,2.10,2.13
15.0,185.0,-19.65,1.93,1.96
16.0,185.0,-19.90,1.73,1.76
17.0,185.0,-20.18,1.51,1.54
18.0,185.0,-20.48,1.27,1.30
19.0,185.0,-20.80,1.01,1.04
20.0,185.0,-21.15,0.71,0.74
21.0,185.0,-21.54,0.39,0.41
22.0,185.0,-21.96,0.02,0.05
23.0,185.0,-22.42,-0.38,-0.35
24.0,185.0,-22.91,-0.83,-0.80
25.0,185.0,-23.45,-1.32,-1.30
26.0,185.0,-24.03,-1.88,-1.85
27.0,185.0,-24.66,-2.50,-2.47
28.0,185.0,-25.33,-3.20,-3.17
29.0,185.0,-26.06,-3.98,-3.95
30.0,185.0,-26.82,-4.85,-4.82
31.0,185.0,-27.61,-5.82,-5.80
32.0,185.0,-28.40,-6.88,-6.85
33.0,185.0,-29.14,-7.99,-7.95
34.0,185.0,-29.77,-9.02,-8.98
35.0,185.0,-30.19,-9.75,-9.71
36.0,185.0,-30.33,-9.89,-9.85
37.0,185.0,-30.17,-9.31,-9.27
38.0,185.0,-29.75,-8.19,-8.16
39.0,185.0,-29.13,-6.83,-6.80
40.0,185.0,-28.41,-5.42,-5.40
41.0,185.0,-27.65,-4.08,-4.06
42.0,185.0,-26.90,-2.83,-2.81
43.0,185.0,-26.19,-1.68,-1.67
44.0,185.0,-25.52,-0.63,-0.62
45.0,185.0,-24.91,0.33,0.35
46.0,185.0,-24.35,1.22,1.23
47.0,185.0,-23.85,2.03,2.04
48.0,185.0,-23.40,2.78,2.79
49.0,185.0,-23.01,3.47,3.48
50.0,185.0,-22.66,4.11,4.12
51.0,185.0,-22.36,4.70,4.71
52.0,185.0,-22.12,5.25,5.26
53.0,185.0,-21.91,5.75,5.76
54.0,185.0,-21.75,6.22,6.23
55.0,185.0,-21.64,6.65,6.65
56.0,185.0,-21.57,7.04,7.04
57.0,185.0,-21.54,7.39,7.40
58.0,185.0,-21.55,7.71,7.72
59.0,185.0,-21.61,8.00,8.01
60.0,185.0,-21.71,8.26,8.27
61.0,185.0,-21.85,8.49,8.49
62.0,185.0,-22.03,8.68,8.68
63.0,185.0,-22.26,8.84,8.85
64.0,185.0,-22.53,8.97,8.98
65.0,185.0,-22.84,9.07,9.07
66.0,185.0,-23.20,9.14,9.14
67.0,185.0,-23.61,9.17,9.17
68.0,185.0,-24.07,9.16,9.17
69.0,185.0,-24.57,9.13,9.13
70.0,185.0,-25.12,9.05,9.05
71.0,185.0,-25.72,8.94,8.94
72.0,185.0,-26.37,8.78,8.78
73.0,185.0,-27.06,8.58,8.58
74.0,185.0,-27.79,8.34,8.34
75.0,185.0,-28.55,8.04,8.04
76.0,185.0,-29.35,7.69,7.69
77.0,185.0,-30.16,7.28,7.28
78.0,185.0,-30.98,6.80,6.80
79.0,185.0,-31.79,6.25,6.25
80.0,185.0,-32.59,5.61,5.61
81.0,185.0,-33.38,4.86,4.86
82.0,185.0,-34.17,3.99,3.99
83.0,185.0,-34.99,2.97,2.97
84.0,185.0,-35.89,1.76,1.76
85.0,185.0,-36.93,0.28,0.28
86.0,185.0,-38.26,-1.56,-1.56
87.0,185.0,-40.08,-3.98,-3.98
88.0,185.0,-42.86,-7.44,-7.44
89.0,185.0,-48.09,-13.41,-13.41
0.0,186.0,-16.45,3.12,3.16
1.0,186.0,-16.46,3.11,3.16
2.0,186.0,-16.48,3.10,3.15
3.0,186.0,-16.51,3.08,3.12
4.0,186.0,-16.56,3.04,3.09
5.0,186.0,-16.62,3.00,3.05
6.0,186.0,-16.69,2.95,2.99
7.0,186.0,-16.78,2.88,2.93
8.0,186.0,-16.88,2.81,2.86
9.0,186.0,-17.00,2.72,2.77
10.0,186.0,-17.14,2.62,2.67
11.0,186.0,-17.29,2.51,2.56
12.0,186.0,-17.46,2.39,2.43
13.0,186.0,-17.64,2.24,2.29
14.0,186.0,-17.85,2.09,2.13
15.0,186.0,-18.08,1.91,1.95
16.0,186.0,-18.33,1.71,1.76
17.0,186.0,-18.60,1.50,1.54
18.0,186.0,-18.90,1.26,1.30
19.0,186.0,-19.22,0.99,1.03
20.0,186.0,-19.58,0.70,0.74
21.0,186.0,-19.96,0.37,0.41
22.0,186.0,-20.38,0.01,0.05
23.0,186.0,-20.84,-0.40,-0.36
24.0,186.0,-21.33,-0.84,-0.80
25.0,186.0,-21.87,-1.34,-1.30
26.0,186.0,-22.45,-1.90,-1.86
27.0,186.0,-23.08,-2.52,-2.48
28.0,186.0,-23.76,-3.21,-3.18
29.0,186.0,-24.48,-4.00,-3.96
30.0,186.0,-25.25,-4.87,-4.83
31.0,186.0,-26.04,-5.84,-5.80
32.0,186.0,-26.82,-6.90,-6.86
33.0,186.0,-27.57,-8.01,-7.96
34.0,186.0,-28.19,-9.04,-8.98
35.0,186.0,-28.61,-9.77,-9.71
36.0,186.0,-28.76,-9.91,-9.85
37.0,186.0,-28.60,-9.33,-9.28
38.0,186.0,-28.17,-8.21,-8.17
39.0,186.0,-27.56,-6.85,-6.81
40.0,186.0,-26.84,-5.44,-5.41
41.0,186.0,-26.08,-4.10,-4.07
42.0,186.0,-25.33,-2.85,-2.82
43.0,186.0,-24.62,-1.70,-1.68
44.0,186.0,-23.95,-0.65,-0.63
45.0,186.0,-23.33,0.31,0.33
46.0,186.0,-22.78,1.20,1.22
47.0,186.0,-22.28,2.01,2.03
48.0,186.0,-21.83,2.76,2.78
49.0,186.0,-21.43,3.45,3.47
50.0,186.0,-21.09,4.09,4.11
51.0,186.0,-20.79,4.68,4.69
52.0,186.0,-20.54,5.23,5.24
53.0,186.0,-20.34,5.73,5.74
54.0,186.0,-20.18,6.20,6.21
55.0,186.0,-20.07,6.62,6.63
56.0,186.0,-20.00,7.01,7.02
57.0,186.0,-19.97,7.37,7.38
58.0,186.0,-19.98,7.69,7.70
59.0,186.0,-20.04,7.98,7.99
60.0,186.0,-20.14,8.24,8.25
61.0,186.0,-20.28,8.46,8.47
62.0,186.0,-20.46,8.66,8.66
63.0,186.0,-20.69,8.82,8.82
64.0,186.0,-20.96,8.95,8.95
65.0,186.0,-21.27,9.05,9.05
66.0,186.0,-21.64,9.11,9.12
67.0,186.0,-22.04,9.14,9.15
68.0,186.0,-22.50,9.14,9.14
69.0,186.0,-23.00,9.10,9.10
70.0,186.0,-23.56,9.03,9.03
71.0,186.0,-24.15,8.91,8.91
72.0,186.0,-24.80,8.76,8.76
73.0,186.0,-25.49,8.56,8.56
74.0,186.0,-26.22,8.31,8.31
75.0,186.0,-26.99,8.02,8.02
76.0,186.0,-27.78,7.67,7.67
77.0,186.0,-28.59,7.26,7.26
78.0,186.0,-29.41,6.78,6.78
79.0,186.0,-30.22,6.22,6.22
80.0,186.0,-31.03,5.58,5.58
81.0,186.0,-31.82,4.84,4.84
82.0,186.0,-32.61,3.97,3.97
83.0,186.0,-33.42,2.95,2.95
84.0,186.0,-34.32,1.73,1.73
85.0,186.0,-35.37,0.26,0.26
86.0,186.0,-36.69,-1.59,-1.58
87.0,186.0,-38.51,-4.01,-4.01
88.0,186.0,-41.30,-7.47,-7.46
89.0,186.0,-46.52,-13.44,-13.44
0.0,187.0,-15.12,3.10,3.16
1.0,187.0,-15.12,3.10,3.16
2.0,187.0,-15.14,3.08,3.15
3.0,187.0,-15.18,3.06,3.12
4.0,187.0,-15.22,3.02,3.09
5.0,187.0,-15.28,2.98,3.05
6.0,187.0,-15.36,2.93,2.99
7.0,187.0,-15.45,2.87,2.93
8.0,187.0,-15.55,2.79,2.85
9.0,187.0,-15.67,2.70,2.77
10.0,187.0,-15.80,2.61,2.67
11.0,187.0,-15.95,2.49,2.56
12.0,187.0,-16.12,2.37,2.43
13.0,187.0,-16.31,2.23,2.29
14.0,187.0,-16.52,2.07,2.13
15.0,187.0,-16.74,1.89,1.95
16.0,187.0,-16.99,1.70,1.75
17.0,187.0,-17.27,1.48,1.54
18.0,187.0,-17.57,1.24,1.30
19.0,187.0,-17.89,0.97,1.03
20.0,187.0,-18.25,0.68,0.73
21.0,187.0,-18.63,0.35,0.40
22.0,187.0,-19.05,-0.01,0.04
23.0,187.0,-19.51,-0.41,-0.36
24.0,187.0,-20.00,-0.86,-0.81
25.0,187.0,-20.54,-1.36,-1.31
26.0,187.0,-21.12,-1.92,-1.86
27.0,187.0,-21.75,-2.54,-2.49
28.0,187.0,-22.43,-3.24,-3.18
29.0,187.0,-23.15,-4.02,-3.96
30.0,187.0,-23.92,-4.89,-4.84
31.0,187.0,-24.71,-5.86,-5.81
32.0,187.0,-25.50,-6.92,-6.86
33.0,187.0,-26.24,-8.03,-7.96
34.0,187.0,-26.86,-9.06,-8.99
35.0,187.0,-27.28,-9.79,-9.71
36.0,187.0,-27.43,-9.93,-9.85
37.0,187.0,-27.27,-9.35,-9.28
38.0,187.0,-26.84,-8.23,-8.17
39.0,187.0,-26.23,-6.87,-6.82
40.0,187.0,-25.51,-5.46,-5.42
41.0,187.0,-24.75,-4.12,-4.08
42.0,187.0,-24.00,-2.87,-2.84
43.0,187.0,-23.29,-1.72,-1.69
44.0,187.0,-22.62,-0.67,-0.65
45.0,187.0,-22.01,0.29,0.32
46.0,187.0,-21.45,1.17,1.20
47.0,187.0,-20.95,1.99,2.01
48.0,187.0,-20.50,2.74,2.76
49.0,187.0,-20.11,3.43,3.45
50.0,187.0,-19.76,4.07,4.09
51.0,187.0,-19.47,4.66,4.67
52.0,187.0,-19.22,5.20,5.22
53.0,187.0,-19.02,5.71,5.72
54.0,187.0,-18.86,6.17,6.18
55.0,187.0,-18.74,6.60,6.61
56.0,187.0,-18.67,6.99,7.00
57.0,187.0,-18.64,7.34,7.35
58.0,187.0,-18.66,7.67,7.68
59.0,187.0,-18.71,7.95,7.96
60.0,187.0,-18.81,8.21,8.22
61.0,187.0,-18.95,8.44,8.44
62.0,187.0,-19.14,8.63,8.64
63.0,187.0,-19.36,8.79,8.80
64.0,187.0,-19.63,8.92,8.93
65.0,187.0,-19.95,9.02,9.03
66.0,187.0,-20.31,9.08,9.09
67.0,187.0,-20.72,9.12,9.12
68.0,187.0,-21.18,9.11,9.12
69.0,187.0,-21.68,9.07,9.08
70.0,187.0,-22.23,9.00,9.00
71.0,187.0,-22.83,8.88,8.89
72.0,187.0,-23.48,8.73,8.73
73.0,187.0,-24.17,8.53,8.53
74.0,187.0,-24.90,8.28,8.29
75.0,187.0,-25.67,7.99,7.99
76.0,187.0,-26.46,7.64,7.64
77.0,187.0,-27.27,7.23,7.23
78.0,187.0,-28.09,6.75,6.75
79.0,187.0,-28.90,6.19,6.20
80.0,187.0,-29.71,5.55,5.55
81.0,187.0,-30.50,4.81,4.81
82.0,187.0,-31.29,3.94,3.94
83.0,187.0,-32.10,2.92,2.92
84.0,187.0,-33.00,1.70,1.71
85.0,187.0,-34.05,0.23,0.23
86.0,187.0,-35.37,-1.62,-1.61
87.0,187.0,-37.19,-4.04,-4.03
88.0,187.0,-39.98,-7.50,-7.49
89.0,187.0,-45.21,-13.47,-13.47
0.0,188.0,-13.96,3.08,3.16
1.0,188.0,-13.97,3.08,3.16
2.0,188.0,-13.99,3.06,3.15
3.0,188.0,-14.02,3.04,3.12
4.0,188.0,-14.07,3.00,3.09
5.0,188.0,-14.13,2.96,3.05
6.0,188.0,-14.20,2.91,2.99
7.0,188.0,-14.29,2.85,2.93
8.0,188.0,-14.40,2.77,2.85
9.0,188.0,-14.51,2.68,2.77
10.0,188.0,-14.65,2.59,2.67
11.0,188.0,-14.80,2.47,2.55
12.0,188.0,-14.97,2.35,2.43
13.0,188.0,-15.16,2.20,2.28
14.0,188.0,-15.36,2.05,2.12
15.0,188.0,-15.59,1.87,1.95
16.0,188.0,-15.84,1.67,1.75
17.0,188.0,-16.12,1.46,1.53
18.0,188.0,-16.41,1.22,1.29
19.0,188.0,-16.74,0.95,1.02
20.0,188.0,-17.09,0.65,0.73
21.0,188.0,-17.48,0.33,0.40
22.0,188.0,-17.90,-0.03,0.04
23.0,188.0,-18.36,-0.44,-0.37
24.0,188.0,-18.85,-0.88,-0.82
25.0,188.0,-19.39,-1.38,-1.32
26.0,188.0,-19.97,-1.94,-1.87
27.0,188.0,-20.60,-2.56,-2.49
28.0,188.0,-21.28,-3.26,-3.19
29.0,188.0,-22.00,-4.04,-3.97
30.0,188.0,-22.77,-4.91,-4.84
31.0,188.0,-23.56,-5.89,-5.81
32.0,188.0,-24.35,-6.95,-6.87
33.0,188.0,-25.09,-8.05,-7.97
34.0,188.0,-25.71,-9.08,-8.99
35.0,188.0,-26.14,-9.81,-9.71
36.0,188.0,-26.28,-9.95,-9.85
37.0,188.0,-26.12,-9.37,-9.28
38.0,188.0,-25.70,-8.26,-8.18
39.0,188.0,-25.08,-6.89,-6.83
40.0,188.0,-24.36,-5.49,-5.44
41.0,188.0,-23.61,-4.15,-4.10
42.0,188.0,-22.86,-2.90,-2.85
43.0,188.0,-22.14,-1.75,-1.71
44.0,188.0,-21.48,-0.70,-0.66
45.0,188.0,-20.86,0.26,0.30
46.0,188.0,-20.31,1.15,1.18
47.0,188.0,-19.80,1.96,1.99
48.0,188.0,-19.36,2.71,2.74
49.0,188.0,-18.96,3.40,3.42
50.0,188.0,-18.62,4.04,4.06
51.0,188.0,-18.32,4.63,4.65
52.0,188.0,-18.08,5.17,5.19
53.0,188.0,-17.87,5.68,5.70
54.0,188.0,-17.72,6.14,6.16
55.0,188.0,-17.60,6.57,6.58
56.0,188.0,-17.53,6.96,6.97
57.0,188.0,-17.50,7.31,7.33
58.0,188.0,-17.52,7.63,7.65
59.0,188.0,-17.57,7.92,7.94
60.0,188.0,-17.67,8.18,8.19
61.0,188.0,-17.81,8.41,8.42
62.0,188.0,-18.00,8.60,8.61
63.0,188.0,-18.22,8.76,8.77
64.0,188.0,-18.49,8.89,8.90
65.0,188.0,-18.81,8.99,8.99
66.0,188.0,-19.17,9.05,9.06
67.0,188.0,-19.58,9.08,9.09
68.0,188.0,-20.04,9.08,9.09
69.0,188.0,-20.54,9.04,9.05
70.0,188.0,-21.09,8.97,8.97
71.0,188.0,-21.69,8.85,8.85
72.0,188.0,-22.34,8.69,8.70
73.0,188.0,-23.03,8.50,8.50
74.0,188.0,-23.76,8.25,8.25
75.0,188.0,-24.53,7.95,7.96
76.0,188.0,-25.32,7.60,7.61
77.0,188.0,-26.13,7.19,7.20
78.0,188.0,-26.95,6.71,6.72
79.0,188.0,-27.77,6.16,6.16
80.0,188.0,-28.57,5.52,5.52
81.0,188.0,-29.36,4.77,4.78
82.0,188.0,-30.15,3.91,3.91
83.0,188.0,-30.97,2.88,2.89
84.0,188.0,-31.86,1.67,1.67
85.0,188.0,-32.91,0.19,0.20
86.0,188.0,-34.23,-1.65,-1.65
87.0,188.0,-36.05,-4.07,-4.07
88.0,188.0,-38.84,-7.53,-7.53
89.0,188.0,-44.07,-13.50,-13.50
0.0,189.0,-12.95,3.06,3.16
1.0,189.0,-12.96,3.05,3.16
2.0,189.0,-12.98,3.04,3.15
3.0,189.0,-13.01,3.02,3.12
4.0,189.0,-13.05,2.98,3.09
5.0,189.0,-13.11,2.94,3.05
6.0,189.0,-13.19,2.89,2.99
7.0,189.0,-13.28,2.82,2.93
8.0,189.0,-13.38,2.75,2.85
9.0,189.0,-13.50,2.66,2.77
10.0,189.0,-13.63,2.56,2.67
11.0,189.0,-13.79,2.45,2.55
12.0,189.0,-13.96,2.32,2.42
13.0,189.0,-14.14,2.18,2.28
14.0,189.0,-14.35,2.02,2.12
15.0,189.0,-14.58,1.85,1.94
16.0,189.0,-14.83,1.65,1.75
17.0,189.0,-15.10,1.43,1.53
18.0,189.0,-15.40,1.19,1.29
19.0,189.0,-15.73,0.93,1.02
20.0,189.0,-16.08,0.63,0.72
21.0,189.0,-16.47,0.30,0.39
22.0,189.0,-16.89,-0.06,0.03
23.0,189.0,-17.34,-0.46,-0.37
24.0,189.0,-17.84,-0.91,-0.82
25.0,189.0,-18.38,-1.41,-1.32
26.0,189.0,-18.96,-1.97,-1.88
27.0,189.0,-19.59,-2.59,-2.50
28.0,189.0,-20.27,-3.29,-3.20
29.0,189.0,-20.99,-4.07,-3.98
30.0,189.0,-21.76,-4.94,-4.85
31.0,189.0,-22.55,-5.91,-5.82
32.0,189.0,-23.34,-6.98,-6.88
33.0,189.0,-24.08,-8.08,-7.97
34.0,189.0,-24.70,-9.11,-8.99
35.0,189.0,-25.13,-9.84,-9.72
36.0,189.0,-25.27,-9.98,-9.85
37.0,189.0,-25.11,-9.40,-9.29
38.0,189.0,-24.69,-8.29,-8.19
39.0,189.0,-24.07,-6.92,-6.84
40.0,189.0,-23.35,-5.52,-5.45
41.0,189.0,-22.60,-4.18,-4.12
42.0,189.0,-21.85,-2.93,-2.87
43.0,189.0,-21.14,-1.78,-1.73
44.0,189.0,-20.47,-0.73,-0.69
45.0,189.0,-19.86,0.23,0.27
46.0,189.0,-19.30,1.11,1.15
47.0,189.0,-18.80,1.93,1.96
48.0,189.0,-18.35,2.68,2.71
49.0,189.0,-17.96,3.37,3.40
50.0,189.0,-17.61,4.01,4.04
51.0,189.0,-17.32,4.60,4.62
52.0,189.0,-17.07,5.14,5.17
53.0,189.0,-16.87,5.64,5.67
54.0,189.0,-16.71,6.11,6.13
55.0,189.0,-16.60,6.53,6.55
56.0,189.0,-16.53,6.92,6.94
57.0,189.0,-16.50,7.28,7.30
58.0,189.0,-16.51,7.60,7.62
59.0,189.0,-16.57,7.89,7.90
60.0,189.0,-16.67,8.15,8.16
61.0,189.0,-16.81,8.37,8.38
62.0,189.0,-16.99,8.56,8.58
63.0,189.0,-17.22,8.72,8.74
64.0,189.0,-17.49,8.85,8.86
65.0,189.0,-17.81,8.95,8.96
