Timestamp	Call	MHz	SNR	Drift	Grid	Pwr	Reporter	RGrid	km	az
 2019-04-05 10:40 	 G0CCL 	 14.097177 	 +16 	 0 	 JO02bf 	 5 	 IS0KYB1 	 JM49jn 	 1557 	 151 
 2019-04-05 10:40 	 OK1RPL 	 14.097071 	 -2 	 -2 	 JN69qs 	 0.1 	 IS0KYB1 	 JM49jn 	 1191 	 199 
 2019-04-05 10:40 	 G4BAV 	 14.097060 	 -22 	 -1 	 JO02oc 	 0.1 	 IS0KYB1 	 JM49jn 	 1511 	 154 
 2019-04-05 10:40 	 DG7NFX 	 14.097054 	 -5 	 0 	 JN59ij 	 0.2 	 IS0KYB1 	 JM49jn 	 1104 	 189 
 2019-04-05 10:40 	 G3VBQ 	 14.097051 	 -8 	 0 	 IO81wr 	 0.5 	 IS0KYB1 	 JM49jn 	 1593 	 144 
 2019-04-05 10:40 	 DD5XX 	 14.097043 	 -20 	 0 	 JN48pr 	 0.01 	 IS0KYB1 	 JM49jn 	 1020 	 182 
 2019-04-05 10:40 	 UR5FKG 	 14.097031 	 -20 	 0 	 KN56 	 0.01 	 IS0KYB1 	 JM49jn 	 1951 	 255 
 2019-04-05 10:40 	 EA7ADI 	 14.097024 	 -26 	 -4 	 IM77ai 	 0.2 	 IS0KYB1 	 JM49jn 	 1306 	 75 
 2019-04-05 10:40 	 DL1EFF 	 14.097000 	 -24 	 -2 	 JN59oe 	 0.2 	 IS0KYB1 	 JM49jn 	 1087 	 191 
 2019-04-05 10:40 	 DG7RJ 	 14.097166 	 +10 	 0 	 JN58th 	 5 	 IS0KYB1 	 JM49jn 	 999 	 194 
 2019-04-05 10:38 	 G0CCL 	 14.097177 	 +15 	 0 	 JO02bf 	 5 	 IS0KYB1 	 JM49jn 	 1557 	 151 
 2019-04-05 10:38 	 PA3BTI 	 14.097169 	 +14 	 -2 	 JO22og 	 20 	 IS0KYB1 	 JM49jn 	 1440 	 168 
 2019-04-05 10:38 	 OZ7IT 	 14.097148 	 +7 	 0 	 JO65df 	 5 	 IS0KYB1 	 JM49jn 	 1761 	 190 
 2019-04-05 10:38 	 LA6GH 	 14.097135 	 -7 	 0 	 JP32cl 	 0.1 	 IS0KYB1 	 JM49jn 	 2554 	 175 
 2019-04-05 10:38 	 LA3LJA 	 14.097117 	 -4 	 -1 	 JP53ej 	 0.5 	 IS0KYB1 	 JM49jn 	 2652 	 183 
 2019-04-05 10:38 	 M3JJR 	 14.097107 	 -10 	 0 	 IO91 	 0.2 	 IS0KYB1 	 JM49jn 	 1528 	 146 
